project_id,partner_org,partner_org_id,partner_role
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,Royal Town Planning Institute,202C28FF-8AD8-49B6-855A-6D573A7AC6F1,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,Timecentres UK Ltd,679E83E8-9580-48E1-93F1-635CE3D7A57D,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,FinTech North,F3E0EE63-E731-4C5F-8499-F923A60E2743,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,Cabinet Office,8FFE9D69-BF03-4480-9F8C-2B8E04268F24,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,FinTech West,DE430FAC-2498-41BD-A6E0-332F0D44DBF1,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,Southern Health NHS Foundation Trust,6E8D7D1F-9547-4EA1-AB03-2B23893729ED,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,Propellant,B4927068-5756-4E1C-96A8-7D919F017BD8,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,Plymouth Marine Laboratory,654226C6-BE00-44AE-BA68-D7C8B6AF80A5,PP_ORG
FBBEA8C2-2AAB-474F-836A-E244EF8D958A,CARDIFF CAPITAL REGION,C26598E2-2BE5-4485-881E-0D00C5EF35DA,PP_ORG
A586EEBA-D241-49F6-A383-0775A751B74B,University of Melbourne,AEA991B0-6F90-4BE9-B021-B8ECA6EFC65E,COLLAB_ORG
A586EEBA-D241-49F6-A383-0775A751B74B,Commonwealth Scientific and Industrial Research Organisation,14E92FA5-D62E-4837-AD63-1B210D625ED0,COLLAB_ORG
A586EEBA-D241-49F6-A383-0775A751B74B,SPC,35498F50-0969-464F-AEA7-775BC001B298,PP_ORG
A586EEBA-D241-49F6-A383-0775A751B74B,Mike Lewis,714FF706-182D-4195-85EA-DB85CB33094D,PP_ORG
A586EEBA-D241-49F6-A383-0775A751B74B,Kagoma Australia,4A3E4487-F414-4439-A6B0-B17FC989672E,PP_ORG
