staff_name,url,region,countries
"Burns, Dr Nicola",https://www.gla.ac.uk/schools/socialpolitical/staff/nicolaburns/,Europe,
"Butler McIntosh, Professor Eamonn",https://www.gla.ac.uk/schools/socialpolitical/staff/eamonnbutler/,Europe,
"Calori, Dr Anna",https://www.gla.ac.uk/schools/socialpolitical/staff/annacalori/,Europe,Austria
"Calori, Dr Anna",https://www.gla.ac.uk/schools/socialpolitical/staff/annacalori/,Latin America,Cuba
"Calori, Dr Anna",https://www.gla.ac.uk/schools/socialpolitical/staff/annacalori/,Southern Africa,Zambia
"Carbone, Professor Maurizio",https://www.gla.ac.uk/schools/socialpolitical/staff/mauriziocarbone/,Australasia,New Zealand
"Carbone, Professor Maurizio",https://www.gla.ac.uk/schools/socialpolitical/staff/mauriziocarbone/,Europe,Belgium; Italy
"Carbone, Professor Maurizio",https://www.gla.ac.uk/schools/socialpolitical/staff/mauriziocarbone/,Southern Africa,South Africa
"Carman, Professor Christopher",https://www.gla.ac.uk/schools/socialpolitical/staff/christophercarman/,Europe,
"Carman, Professor Christopher",https://www.gla.ac.uk/schools/socialpolitical/staff/christophercarman/,North America,United States
"Cassie, Dr Nicole",https://www.gla.ac.uk/schools/socialpolitical/staff/nicolecassie/,Europe,
"Cassie, Dr Nicole",https://www.gla.ac.uk/schools/socialpolitical/staff/nicolecassie/,Russia,
"Cassie, Dr Nicole",https://www.gla.ac.uk/schools/socialpolitical/staff/nicolecassie/,South-East Asia,Vietnam
"Cator, Dr Charlotte",https://www.gla.ac.uk/schools/socialpolitical/staff/charlottecator/,Europe,
"Cator, Dr Charlotte",https://www.gla.ac.uk/schools/socialpolitical/staff/charlottecator/,Latin America,Mexico
"Cheskin, Dr Ammon",https://www.gla.ac.uk/schools/socialpolitical/staff/ammoncheskin/,Europe,Latvia; Ukraine
"Cheskin, Dr Ammon",https://www.gla.ac.uk/schools/socialpolitical/staff/ammoncheskin/,Russia,Russia
"Chou, Ms Jean Tzu-Yin",https://www.gla.ac.uk/schools/socialpolitical/staff/jeantzuyinchou/,Australasia,New Zealand
"Chou, Ms Jean Tzu-Yin",https://www.gla.ac.uk/schools/socialpolitical/staff/jeantzuyinchou/,China,Taiwan
"Chou, Ms Jean Tzu-Yin",https://www.gla.ac.uk/schools/socialpolitical/staff/jeantzuyinchou/,Europe,Germany; Netherlands
"Chou, Ms Jean Tzu-Yin",https://www.gla.ac.uk/schools/socialpolitical/staff/jeantzuyinchou/,North-East Asia,Japan
"Chou, Ms Jean Tzu-Yin",https://www.gla.ac.uk/schools/socialpolitical/staff/jeantzuyinchou/,South Asia,India
"Chou, Ms Jean Tzu-Yin",https://www.gla.ac.uk/schools/socialpolitical/staff/jeantzuyinchou/,South-East Asia,Singapore
"Clark, Dr Hannah-Louise",https://www.gla.ac.uk/schools/socialpolitical/staff/hannah-louiseclark/,Europe,France
"Clark, Dr Hannah-Louise",https://www.gla.ac.uk/schools/socialpolitical/staff/hannah-louiseclark/,Middle East,Lebanon
"Clark, Dr Hannah-Louise",https://www.gla.ac.uk/schools/socialpolitical/staff/hannah-louiseclark/,North Africa,Algeria; Egypt; Morocco
"Clark, Dr Hannah-Louise",https://www.gla.ac.uk/schools/socialpolitical/staff/hannah-louiseclark/,North America,United States
"Creed, Dr Fabiola",https://www.gla.ac.uk/schools/socialpolitical/staff/fabiolacreed/,China,China
"Crilley, Dr Rhys",https://www.gla.ac.uk/schools/socialpolitical/staff/rhyscrilley/,Russia,Russia
"Cross, Professor Jamie",https://www.gla.ac.uk/schools/socialpolitical/staff/jamiecross/,East Africa,Tanzania
"Cross, Professor Jamie",https://www.gla.ac.uk/schools/socialpolitical/staff/jamiecross/,South Asia,India; Nepal
"Cross, Professor Jamie",https://www.gla.ac.uk/schools/socialpolitical/staff/jamiecross/,West Africa,Burkina Faso
"Cullingworth, Dr Jane",https://www.gla.ac.uk/schools/socialpolitical/staff/janecullingworth/,North America,Canada
"Davis, Dr Alicia",https://www.gla.ac.uk/schools/socialpolitical/staff/aliciadavis/,East Africa,Tanzania
"Davis, Dr Alicia",https://www.gla.ac.uk/schools/socialpolitical/staff/aliciadavis/,Latin America,
"Dekalchuk, Dr Anna",https://www.gla.ac.uk/schools/socialpolitical/staff/annadekalchuk/,Europe,
"Dingli, Dr Sophia",https://www.gla.ac.uk/schools/socialpolitical/staff/sophiadingli/,Middle East,Yemen
"Duckett, Professor Jane",https://www.gla.ac.uk/schools/socialpolitical/staff/janeduckett/,China,China; Hong Kong
